iter	Passed	Remaining
193	493	2049
194	494	2041
195	496	2036
196	497	2029
197	499	2023
198	502	2023
199	504	2016
200	505	2009
201	506	2001
202	507	1993
203	508	1985
204	510	1978
205	511	1971
206	512	1963
207	513	1956
208	515	1949
209	517	1944
210	518	1938
211	519	1932
212	521	1925
213	522	1918
214	523	1911
215	524	1904
216	525	1897
217	527	1890
218	528	1884
219	529	1878
220	530	1871
221	532	1866
222	534	1860
223	535	1854
224	536	1847
225	537	1841
226	538	1834
227	539	1828
228	541	1821
229	542	1815
230	543	1809
231	544	1803
232	546	1797
233	547	1792
234	548	1786
235	550	1781
236	551	1775
237	552	1770
238	554	1764
239	555	1759
240	556	1753
241	558	1747
242	559	1742
243	560	1735
244	561	1730
245	563	1725
246	564	1719
247	564	1713
248	565	1706
249	566	1700
250	567	1694
251	568	1687
252	569	1681
253	570	1675
254	571	1669
255	572	1663
256	573	1658
257	574	1652
258	575	1646
259	576	1640
260	577	1635
261	578	1629
262	579	1624
263	580	1618
264	581	1612
265	582	1607
266	583	1601
267	584	1595
268	585	1590
269	586	1584
270	587	1579
271	588	1574
272	589	1568
273	590	1563
274	591	1558
275	592	1554
276	594	1550
277	595	1546
278	596	1542
279	598	1539
280	599	1534
281	601	1530
282	602	1526
283	603	1522
284	604	1517
285	606	1513
286	607	1509
287	608	1504
288	609	1500
289	610	1495
290	612	1491
291	613	1486
292	614	1481
293	615	1477
294	616	1472
295	617	1469
296	618	1464
297	619	1459
298	620	1455
299	621	1451
300	623	1446
301	624	1444
302	626	1441
303	627	1436
304	628	1432
305	629	1428
306	630	1423
307	631	1419
308	632	1414
309	633	1410
310	634	1405
311	635	1401
312	636	1397
313	637	1393
314	638	1389
315	640	1386
316	641	1382
317	642	1378
318	644	1374
319	645	1371
320	646	1367
321	647	1362
322	648	1358
323	649	1354
324	650	1350
325	650	1345
326	652	1342
327	653	1339
328	656	1338
329	657	1334
330	658	1330
331	659	1326
332	659	1321
333	660	1317
334	661	1313
335	662	1309
336	663	1305
337	664	1301
338	665	1297
339	666	1294
340	668	1291
341	669	1288
342	671	1285
343	672	1282
344	673	1278
345	674	1275
346	675	1271
347	676	1268
348	677	1264
349	678	1260
350	679	1256
351	680	1253
352	682	1250
353	683	1247
354	685	1244
355	687	1242
356	688	1239
357	689	1236
358	690	1233
359	691	1229
360	692	1226
361	693	1222
362	694	1219
363	695	1215
364	696	1211
365	697	1208
366	699	1205
367	700	1202
368	702	1200
369	703	1197
370	704	1193
371	705	1190
372	706	1186
373	707	1183
374	708	1180
375	709	1176
376	710	1173
377	710	1169
378	712	1166
379	713	1164
380	715	1161
381	717	1160
382	718	1157
383	719	1154
384	720	1151
385	722	1148
386	723	1145
387	724	1142
388	725	1139
389	727	1137
390	729	1136
391	731	1134
392	732	1131
393	733	1128
394	735	1126
395	737	1124
396	738	1121
397	739	1119
398	741	1116
399	742	1113
400	743	1111
401	745	1108
402	746	1106
403	748	1104
404	749	1101
405	751	1098
406	752	1095
407	753	1093
408	754	1090
409	755	1087
410	756	1084
411	759	1084
412	761	1082
413	762	1079
414	764	1077
415	765	1074
416	766	1071
417	767	1068
418	768	1066
419	770	1063
420	771	1060
421	772	1058
422	775	1057
423	776	1055
424	778	1052
425	779	1050
426	780	1047
427	781	1044
428	782	1042
429	784	1039
430	785	1036
431	786	1033
432	787	1031
433	789	1029
434	790	1027
435	792	1025
436	794	1023
437	795	1020
438	796	1017
439	797	1015
440	798	1012
441	800	1010
442	801	1007
443	803	1005
444	805	1004
445	806	1002
446	808	1000
447	810	998
448	811	995
449	812	993
450	814	990
451	815	988
452	816	986
453	819	985
454	820	983
455	822	981
456	824	979
457	825	976
458	826	974
459	827	971
460	829	969
461	830	967
462	831	964
463	839	969
464	841	968
465	843	966
466	844	964
467	846	961
468	847	959
469	849	958
470	851	956
471	853	954
472	855	952
473	856	950
474	857	948
475	859	946
476	860	943
477	862	941
478	866	942
479	868	940
480	869	938
481	870	936
482	872	933
483	873	931
484	874	928
485	876	926
486	877	924
487	878	921
488	881	920
489	882	918
490	883	916
491	885	914
492	886	911
493	887	909
494	888	906
495	889	904
496	891	901
497	892	899
498	893	897
499	897	897
500	899	895
501	900	893
502	901	891
503	903	888
504	904	886
505	905	884
506	907	881
507	908	879
508	909	877
509	912	877
510	914	874
511	915	872
512	916	870
513	918	868
514	919	865
515	920	863
516	921	860
517	922	858
518	923	856
519	927	856
520	929	854
521	931	852
522	933	850
523	934	849
524	936	846
525	937	844
526	938	842
527	940	840
528	944	841
529	946	839
530	947	837
531	949	835
532	951	833
533	952	831
534	954	829
535	956	828
536	958	826
537	959	824
538	961	821
539	962	819
540	963	817
541	964	814
542	965	812
543	966	810
544	968	808
545	969	805
546	970	803
547	972	802
548	974	800
549	976	798
550	977	796
551	978	794
552	979	791
553	980	789
554	981	787
555	983	785
556	984	782
557	985	780
558	988	779
559	989	777
560	991	775
561	992	773
562	993	771
563	994	769
564	995	766
565	996	764
566	998	762
567	999	760
568	1000	757
569	1002	756
570	1003	754
571	1005	752
572	1006	750
573	1008	748
574	1009	746
575	1010	743
576	1011	741
577	1012	739
578	1014	737
579	1015	735
580	1017	733
581	1019	732
582	1021	730
583	1022	728
584	1023	726
585	1024	723
586	1025	721
587	1027	719
588	1028	717
589	1029	715
590	1030	713
591	1034	712
592	1035	710
593	1037	708
594	1038	706
595	1039	704
596	1041	702
597	1042	700
598	1043	698
599	1045	696
600	1049	696
601	1051	695
602	1052	693
603	1054	691
604	1056	689
605	1057	687
606	1059	685
607	1060	683
608	1064	683
609	1065	681
610	1067	679
611	1069	677
612	1070	676
613	1072	674
614	1074	672
615	1075	670
616	1077	668
617	1079	667
618	1080	665
619	1082	663
620	1083	661
621	1085	659
622	1086	657
623	1087	655
624	1088	653
625	1089	651
626	1090	648
627	1091	646
628	1093	645
629	1095	643
630	1097	641
631	1098	639
632	1099	637
633	1101	635
634	1102	633
635	1103	631
636	1104	629
637	1105	627
638	1106	625
639	1109	624
640	1110	622
641	1112	620
642	1113	618
643	1114	616
644	1116	614
645	1117	612
646	1118	610
647	1119	608
648	1120	606
649	1121	604
650	1124	602
651	1125	600
652	1127	599
653	1128	597
654	1129	595
655	1131	593
656	1132	591
657	1133	589
658	1134	587
659	1135	585
660	1136	583
661	1139	581
662	1140	579
663	1142	578
664	1143	576
665	1144	574
666	1146	572
667	1147	570
668	1148	568
669	1149	566
670	1150	564
671	1152	562
672	1154	560
673	1156	559
674	1157	557
675	1158	555
676	1160	553
677	1161	551
678	1162	549
679	1163	547
680	1165	545
681	1166	543
682	1167	541
683	1170	540
684	1171	538
685	1173	536
686	1174	534
687	1175	533
688	1176	531
689	1177	529
690	1178	527
691	1180	525
692	1181	523
693	1182	521
694	1184	519
695	1185	517
696	1186	515
697	1187	513
698	1188	511
699	1189	509
700	1190	507
701	1191	505
702	1192	503
703	1193	501
704	1194	499
705	1195	497
706	1196	495
707	1197	493
708	1198	491
709	1199	490
710	1201	488
711	1202	486
712	1203	484
713	1204	482
714	1205	480
715	1206	478
716	1207	476
717	1208	474
718	1209	472
719	1210	470
720	1211	468
721	1212	466
722	1215	465
723	1217	464
724	1219	462
725	1220	460
726	1221	458
727	1222	456
728	1223	454
729	1224	453
730	1225	451
731	1226	449
732	1227	447
733	1229	445
734	1230	443
735	1231	441
736	1232	439
737	1233	437
738	1234	436
739	1235	434
740	1236	432
741	1237	430
742	1238	428
743	1239	426
744	1240	424
745	1241	422
746	1242	420
747	1243	418
748	1245	417
749	1246	415
750	1247	413
751	1248	411
752	1249	409
753	1250	408
754	1251	406
755	1252	404
756	1253	402
757	1254	400
758	1255	398
759	1256	396
760	1257	394
761	1258	393
762	1259	391
763	1260	389
764	1261	387
765	1263	385
766	1264	384
767	1265	382
768	1266	380
769	1267	378
770	1268	376
771	1269	374
772	1270	373
773	1271	371
774	1272	369
775	1273	367
776	1274	365
777	1276	364
778	1277	362
779	1278	360
780	1279	358
781	1280	356
782	1281	355
783	1282	353
784	1283	351
785	1284	349
786	1285	347
787	1286	346
788	1287	344
789	1288	342
790	1289	340
791	1291	339
792	1292	337
793	1293	335
794	1294	333
795	1295	331
796	1296	330
797	1297	328
798	1297	326
799	1298	324
800	1299	322
801	1300	321
802	1301	319
803	1302	317
804	1304	316
805	1306	314
806	1307	312
807	1308	310
808	1309	309
809	1310	307
810	1311	305
811	1312	303
812	1313	302
813	1314	300
814	1315	298
815	1315	296
816	1316	294
817	1317	293
818	1319	291
819	1321	289
820	1322	288
821	1323	286
822	1324	284
823	1325	283
824	1326	281
825	1327	279
826	1328	277
827	1329	276
828	1330	274
829	1331	272
830	1332	270
831	1333	269
832	1334	267
833	1336	265
834	1337	264
835	1338	262
836	1339	260
837	1340	259
838	1341	257
839	1342	255
840	1343	254
841	1344	252
842	1345	250
843	1346	248
844	1347	247
845	1348	245
846	1350	243
847	1351	242
848	1352	240
849	1353	238
850	1354	237
851	1355	235
852	1356	233
853	1357	232
854	1358	230
855	1359	228
856	1360	227
857	1361	225
858	1362	223
859	1363	221
860	1364	220
861	1366	218
862	1367	217
863	1368	215
864	1369	213
865	1370	212
866	1371	210
867	1372	208
868	1373	206
869	1374	205
870	1375	203
871	1376	201
872	1376	200
873	1377	198
874	1378	196
875	1380	195
876	1381	193
877	1382	192
878	1383	190
879	1384	188
880	1385	187
881	1386	185
882	1387	183
883	1388	182
884	1389	180
885	1390	178
886	1391	177
887	1392	175
888	1393	174
889	1395	172
890	1397	170
891	1398	169
892	1399	167
893	1400	166
894	1401	164
895	1402	162
896	1403	161
897	1404	159
898	1405	157
899	1406	156
900	1407	154
901	1408	153
902	1411	151
903	1413	150
904	1414	148
905	1415	146
906	1417	145
907	1418	143
908	1419	142
909	1420	140
910	1421	138
911	1422	137
912	1424	135
913	1426	134
914	1427	132
915	1428	131
916	1430	129
917	1431	127
918	1432	126
919	1434	124
920	1435	123
921	1436	121
922	1437	119
923	1439	118
924	1441	116
925	1443	115
926	1444	113
927	1446	112
928	1447	110
929	1448	109
930	1449	107
931	1450	105
932	1452	104
933	1453	102
934	1454	101
935	1456	99
936	1458	98
937	1460	96
938	1461	94
939	1462	93
940	1464	91
941	1465	90
942	1466	88
943	1467	87
944	1469	85
945	1470	83
946	1472	82
947	1473	80
948	1475	79
949	1476	77
950	1478	76
951	1479	74
952	1481	73
953	1482	71
954	1483	69
955	1484	68
956	1486	66
957	1487	65
958	1489	63
959	1490	62
960	1491	60
961	1493	58
962	1494	57
963	1495	55
964	1496	54
965	1497	52
966	1499	51
967	1500	49
968	1502	48
969	1503	46
970	1504	44
971	1506	43
972	1507	41
973	1508	40
974	1509	38
975	1511	37
976	1512	35
977	1513	34
978	1514	32
979	1516	30
980	1518	29
981	1519	27
982	1520	26
983	1521	24
984	1522	23
985	1523	21
986	1524	20
987	1526	18
988	1527	16
989	1528	15
990	1530	13
991	1531	12
992	1532	10
993	1534	9
994	1535	7
995	1536	6
996	1537	4
997	1538	3
998	1539	1
999	1541	0
